,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
trade,1,0.255102041,confusion,1,0.251889169,knell,1,0.23923445,arm,2,0.383877159,business,1,0.23255814,tyranny,1,0.238095238,fancies,1,0.236966825,back,1,0.243902439,nightgown,1,0.247524752,causes,1,0.214132762
broke,1,0.255102041,cousin,1,0.251889169,cure,1,0.23923445,dares,2,0.383877159,chief,1,0.23255814,days,1,0.238095238,cousin,1,0.236966825,strong,1,0.243902439,moon,1,0.247524752,behold,1,0.214132762
sent,1,0.255102041,deed,1,0.251889169,saw,1,0.23923445,myself,2,0.383877159,warlike,1,0.23255814,breed,1,0.238095238,cure,1,0.236966825,deed,1,0.243902439,lived,1,0.247524752,ring,1,0.214132762
seems,1,0.255102041,made,1,0.251889169,borne,1,0.23923445,question,2,0.383877159,english,1,0.23255814,made,1,0.238095238,borne,1,0.236966825,purpose,1,0.243902439,sleeping,1,0.247524752,dismal,1,0.214132762
on't,1,0.255102041,minute,1,0.251889169,traitor,1,0.23923445,wind,2,0.383877159,trade,1,0.23255814,babe,1,0.238095238,traitor,1,0.236966825,hope,1,0.243902439,court,1,0.247524752,hereafter,1,0.214132762
thence,1,0.255102041,angel,1,0.251889169,back,1,0.23923445,besides,2,0.383877159,sent,1,0.23255814,minute,1,0.238095238,royalty,1,0.236966825,shut,1,0.243902439,confusion,1,0.247524752,thousand,1,0.214132762
towards,1,0.255102041,hostess,1,0.251889169,bosoms,1,0.23923445,quarrel,1,0.19193858,bat,1,0.23255814,warlike,1,0.238095238,back,1,0.236966825,o,1,0.243902439,cousin,1,0.247524752,arms,1,0.214132762
reason,1,0.255102041,broke,1,0.251889169,gin,1,0.23923445,murderer,1,0.19193858,'twere,1,0.23255814,ambition,1,0.238095238,bosoms,1,0.236966825,forgotten,1,0.243902439,saw,1,0.247524752,sure,1,0.214132762
open,1,0.255102041,meeting,1,0.251889169,edge,1,0.23923445,ye,1,0.19193858,cheeks,1,0.23255814,broke,1,0.238095238,made,1,0.236966825,hostess,1,0.243902439,course,1,0.247524752,weal,1,0.214132762
horse,1,0.255102041,looks,1,0.251889169,soldier,1,0.23923445,'thus,1,0.19193858,thence,1,0.23255814,thence,1,0.238095238,sent,1,0.236966825,'twere,1,0.243902439,fools,1,0.247524752,took,1,0.214132762
bird,1,0.255102041,seems,1,0.251889169,days,1,0.23923445,naked,1,0.19193858,spend,1,0.23255814,banquo's,1,0.238095238,bat,1,0.236966825,drunk,1,0.243902439,chief,1,0.247524752,mind,1,0.214132762
already,1,0.255102041,banquo's,1,0.251889169,shut,1,0.23923445,entrance,1,0.19193858,causes,1,0.23255814,reason,1,0.238095238,thence,1,0.236966825,on't,1,0.243902439,water,1,0.247524752,witness,1,0.214132762
ring,1,0.255102041,reason,1,0.251889169,fools,1,0.23923445,gentle,1,0.19193858,said,1,0.23255814,horse,1,0.238095238,abide,1,0.236966825,reason,1,0.243902439,fellow,1,0.247524752,spirits,1,0.214132762
dire,1,0.255102041,fought,1,0.251889169,water,1,0.23923445,saw,1,0.19193858,betimes,1,0.23255814,drop,1,0.238095238,horse,1,0.236966825,throw,1,0.243902439,broke,1,0.247524752,find,1,0.214132762
lost,1,0.255102041,afraid,1,0.251889169,angel,1,0.23923445,angus,1,0.19193858,shame,1,0.23255814,already,1,0.238095238,bird,1,0.236966825,guest,1,0.243902439,'twere,1,0.247524752,speak'st,1,0.214132762
lose,1,0.255102041,said,1,0.251889169,warlike,1,0.23923445,purpose,1,0.19193858,needs,1,0.23255814,forest,1,0.238095238,throw,1,0.236966825,senses,1,0.243902439,drunk,1,0.247524752,scone,1,0.214132762
mercy,1,0.255102041,yes,1,0.251889169,drum,1,0.23923445,brains,1,0.19193858,spent,1,0.23255814,is't,1,0.238095238,already,1,0.236966825,between,1,0.243902439,without,1,0.247524752,life's,1,0.214132762
swear,1,0.255102041,murderers,1,0.251889169,fellow,1,0.23923445,soldier,1,0.19193858,shine,1,0.23255814,said,1,0.238095238,guest,1,0.236966825,kingdom's,1,0.243902439,horse,1,0.247524752,goose,1,0.214132762
was't,1,0.255102041,person,1,0.251889169,drown,1,0.23923445,days,1,0.19193858,high,1,0.23255814,betimes,1,0.238095238,shame,1,0.236966825,greatness,1,0.243902439,spend,1,0.247524752,off,1,0.214132762
hold,1,0.255102041,mercy,1,0.251889169,abide,1,0.23923445,made,1,0.19193858,hold,1,0.23255814,between,1,0.238095238,dire,1,0.236966825,lose,1,0.243902439,already,1,0.247524752,least,1,0.214132762
wake,1,0.255102041,you'll,1,0.251889169,banquo's,1,0.23923445,water,1,0.19193858,meet,1,0.23255814,yes,1,0.238095238,dismal,1,0.236966825,win,1,0.243902439,senses,1,0.247524752,free,1,0.214132762
wild,1,0.255102041,shine,1,0.251889169,towards,1,0.23923445,forgotten,1,0.19193858,others,1,0.23255814,gall,1,0.238095238,win,1,0.236966825,hereafter,1,0.243902439,forest,1,0.247524752,colours,1,0.214132762
takes,1,0.255102041,was't,1,0.251889169,kingdom's,1,0.23923445,ambition,1,0.19193858,wake,1,0.23255814,murderers,1,0.238095238,meet,1,0.236966825,beyond,1,0.243902439,darkness,1,0.247524752,hair,1,0.214132762
sure,1,0.255102041,hold,1,0.251889169,murderers,1,0.23923445,meeting,1,0.19193858,snake,1,0.23255814,ring,1,0.238095238,touch,1,0.236966825,sorrow,1,0.243902439,murderers,1,0.247524752,calls,1,0.214132762
