,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
patience,2,0.404040404,perforce,2,0.421052632,changeling,1,0.236966825,prayers,1,0.243902439,cobweb,2,0.438596491,quake,1,0.22172949,dares,1,0.224719101,yea,2,0.451467269,respect,1,0.254452926,proud,2,0.452488688
believe,2,0.404040404,draw,2,0.421052632,look'd,1,0.236966825,news,1,0.243902439,peaseblossom,2,0.438596491,into,1,0.22172949,idle,1,0.224719101,past,2,0.451467269,spurn,1,0.254452926,peril,2,0.452488688
faith,2,0.404040404,wound,2,0.421052632,proceed,1,0.236966825,cheer,1,0.243902439,jest,2,0.438596491,wear,1,0.22172949,remedy,1,0.224719101,three,2,0.451467269,worm,1,0.254452926,makes,2,0.452488688
double,2,0.404040404,ii,2,0.421052632,palace,1,0.236966825,respect,1,0.243902439,words,2,0.438596491,alack,1,0.22172949,change,1,0.224719101,stir,2,0.451467269,starlight,1,0.254452926,live,2,0.452488688
moth,2,0.404040404,pretty,2,0.421052632,pyramus',1,0.236966825,place,1,0.243902439,dares,1,0.219298246,thing,1,0.22172949,doubt,1,0.224719101,,1,0.225733634,full,1,0.254452926,between,2,0.452488688
sky,2,0.404040404,waking,2,0.421052632,hung,1,0.236966825,due,1,0.243902439,bed,1,0.219298246,wonted,1,0.22172949,lying,1,0.224719101,bed,1,0.225733634,bid,1,0.254452926,side,2,0.452488688
stealth,2,0.404040404,courtesy,2,0.421052632,spite,1,0.236966825,painted,1,0.243902439,counsel,1,0.219298246,cheer,1,0.22172949,wonder,1,0.224719101,idle,1,0.225733634,sad,1,0.254452926,wish,2,0.452488688
soul,2,0.404040404,rose,2,0.421052632,news,1,0.236966825,morrow,1,0.243902439,fetch,1,0.219298246,respect,1,0.22172949,wolf,1,0.224719101,apparel,1,0.225733634,better,1,0.254452926,apparel,1,0.226244344
evermore,2,0.404040404,indian,2,0.421052632,duke,1,0.236966825,judgment,1,0.243902439,change,1,0.219298246,place,1,0.22172949,happy,1,0.224719101,longer,1,0.225733634,partition,1,0.254452926,tedious,1,0.226244344
remain,2,0.404040404,well,1,0.210526316,place,1,0.236966825,under,1,0.243902439,look'd,1,0.219298246,shines,1,0.22172949,alack,1,0.224719101,palace,1,0.225733634,sprite,1,0.254452926,happy,1,0.226244344
begin,2,0.404040404,catch,1,0.210526316,shines,1,0.236966825,midnight,1,0.243902439,wonder,1,0.219298246,chink,1,0.22172949,iron,1,0.224719101,slow,1,0.225733634,takes,1,0.254452926,wall,1,0.226244344
ay,2,0.404040404,counsel,1,0.210526316,due,1,0.236966825,poor,1,0.243902439,alack,1,0.219298246,sad,1,0.22172949,spite,1,0.224719101,pyramus',1,0.225733634,vow,1,0.254452926,thing,1,0.226244344
dares,1,0.202020202,own,1,0.210526316,seem'd,1,0.236966825,pardon,1,0.243902439,thing,1,0.219298246,fine,1,0.22172949,snout,1,0.224719101,respect,1,0.225733634,myself,1,0.254452926,spite,1,0.226244344
idle,1,0.202020202,laid,1,0.210526316,full,1,0.236966825,been,1,0.243902439,spy,1,0.219298246,error,1,0.22172949,invisible,1,0.224719101,place,1,0.225733634,western,1,0.254452926,snout,1,0.226244344
curse,1,0.202020202,quake,1,0.210526316,roar,1,0.236966825,gives,1,0.243902439,cheer,1,0.219298246,midnight,1,0.22172949,water,1,0.224719101,person,1,0.225733634,serpent,1,0.254452926,water,1,0.226244344
doubt,1,0.202020202,into,1,0.210526316,pardon,1,0.236966825,hell,1,0.243902439,person,1,0.219298246,roar,1,0.22172949,holds,1,0.224719101,seem'd,1,0.225733634,stars,1,0.254452926,demetrius',1,0.226244344
please,1,0.202020202,wolf,1,0.210526316,lovers,1,0.236966825,queen,1,0.243902439,painted,1,0.219298246,sprite,1,0.22172949,forth,1,0.224719101,help,1,0.225733634,seem,1,0.254452926,painted,1,0.226244344
tale,1,0.202020202,wall,1,0.210526316,vow,1,0.236966825,other,1,0.243902439,help,1,0.219298246,hearts,1,0.22172949,remembrance,1,0.224719101,hands,1,0.225733634,swear,1,0.254452926,help,1,0.226244344
laid,1,0.202020202,hung,1,0.210526316,shame,1,0.236966825,cupid's,1,0.243902439,hands,1,0.219298246,wildest,1,0.22172949,starlight,1,0.224719101,hateful,1,0.225733634,brier,1,0.254452926,name,1,0.226244344
wear,1,0.202020202,prayers,1,0.210526316,strange,1,0.236966825,promise,1,0.243902439,roar,1,0.219298246,takes,1,0.22172949,blood,1,0.224719101,remembrance,1,0.225733634,hearing,1,0.254452926,pity,1,0.226244344
wall,1,0.202020202,wonted,1,0.210526316,fail,1,0.236966825,cheek,1,0.243902439,excuse,1,0.219298246,been,1,0.22172949,fine,1,0.224719101,morrow,1,0.225733634,perchance,1,0.254452926,chink,1,0.226244344
durst,1,0.202020202,duke,1,0.210526316,promise,1,0.236966825,summer's,1,0.243902439,hearts,1,0.219298246,hell,1,0.22172949,poor,1,0.224719101,under,1,0.225733634,spirits,1,0.254452926,judgment,1,0.226244344
seems,1,0.202020202,invisible,1,0.210526316,cupid,1,0.236966825,loves,1,0.243902439,been,1,0.219298246,device,1,0.22172949,render,1,0.224719101,midnight,1,0.225733634,half,1,0.254452926,better,1,0.226244344
sake,1,0.202020202,hands,1,0.210526316,moonlight,1,0.236966825,food,1,0.243902439,sit,1,0.219298246,seem,1,0.22172949,against,1,0.224719101,to-morrow,1,0.225733634,virgin,1,0.254452926,render,1,0.226244344
place,1,0.202020202,holds,1,0.210526316,souls,1,0.236966825,moonlight,1,0.243902439,gives,1,0.219298246,thanks,1,0.22172949,pardon,1,0.224719101,late,1,0.225733634,both,1,0.254452926,against,1,0.226244344
due,1,0.202020202,worm,1,0.210526316,stands,1,0.236966825,right,1,0.243902439,delay,1,0.219298246,black,1,0.22172949,late,1,0.224719101,attendant,1,0.225733634,scorn,1,0.254452926,about,1,0.226244344
help,1,0.202020202,pity,1,0.210526316,privilege,1,0.236966825,answer,1,0.243902439,fairies,1,0.219298246,joiner,1,0.22172949,sprite,1,0.224719101,been,1,0.225733634,mother,1,0.254452926,lovers,1,0.226244344
name,1,0.202020202,full,1,0.210526316,had,1,0.236966825,swear,1,0.243902439,seem,1,0.219298246,souls,1,0.22172949,hearts,1,0.224719101,sit,1,0.225733634,didst,1,0.254452926,attendant,1,0.226244344
intend,1,0.202020202,intend,1,0.210526316,lion's,1,0.236966825,comfort,1,0.243902439,cheek,1,0.219298246,present,1,0.22172949,strange,1,0.224719101,ho,1,0.225733634,beguile,1,0.254452926,takes,1,0.226244344
error,1,0.202020202,fine,1,0.210526316,find,1,0.236966825,great,1,0.243902439,loves,1,0.219298246,case,1,0.22172949,repent,1,0.224719101,after,1,0.225733634,time,1,0.254452926,vow,1,0.226244344
poor,1,0.202020202,partition,1,0.210526316,sword,1,0.236966825,roaring,1,0.243902439,black,1,0.219298246,roaring,1,0.22172949,queen,1,0.224719101,seem,1,0.225733634,bow,1,0.254452926,perceive,1,0.226244344
roar,1,0.202020202,keep,1,0.210526316,coming,1,0.236966825,known,1,0.243902439,fie,1,0.219298246,known,1,0.22172949,delay,1,0.224719101,cupid's,1,0.225733634,enamour'd,1,0.254452926,shame,1,0.226244344
about,1,0.202020202,hearts,1,0.210526316,whether,1,0.236966825,mirth,1,0.243902439,right,1,0.219298246,mirth,1,0.22172949,fairies,1,0.224719101,loves,1,0.225733634,field,1,0.254452926,hell,1,0.226244344
hearts,1,0.202020202,wildest,1,0.210526316,dreams,1,0.236966825,hast,1,0.243902439,befall,1,0.219298246,perchance,1,0.22172949,thanks,1,0.224719101,food,1,0.225733634,bush,1,0.254452926,ear,1,0.226244344
perceive,1,0.202020202,says,1,0.210526316,high,1,0.236966825,sir,1,0.243902439,oath,1,0.219298246,find,1,0.22172949,loves,1,0.224719101,pass,1,0.225733634,reason,1,0.254452926,device,1,0.226244344
night's,1,0.202020202,repent,1,0.210526316,eyne,1,0.236966825,mother,1,0.243902439,note,1,0.219298246,sword,1,0.22172949,lover's,1,0.224719101,answer,1,0.225733634,whether,1,0.254452926,sooth,1,0.226244344
other,1,0.202020202,western,1,0.210526316,sighs,1,0.236966825,chance,1,0.243902439,vile,1,0.219298246,therefore,1,0.22172949,befall,1,0.224719101,swear,1,0.225733634,else,1,0.254452926,moonlight,1,0.226244344
